	fsa_lights_per100g	id	ingredients	instructions	nutr_per_ingredient	nutr_values_per100g	partition	quantity	title	unit	url	weight_per_ingr	category
0	"{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'orange'}"	000095fc1d	"[{'text': 'yogurt, greek, plain, nonfat'}, {'text': 'strawberries, raw'}, {'text': 'cereals ready-to-eat, granola, homemade'}]"	[{'text': 'Layer all ingredients in a serving dish.'}]	"[{'fat': 0.8845044000000001, 'nrg': 133.80964, 'pro': 23.110512399999998, 'sat': 0.26535132, 'sod': 81.64656, 'sug': 7.348190400000001}, {'fat': 0.46, 'nrg': 49.0, 'pro': 1.02, 'sat': 0.023, 'sod': 2.0, 'sug': 7.43}, {'fat': 7.415, 'nrg': 149.25, 'pro': 4.17, 'sat': 1.207, 'sod': 8.0, 'sug': 6.04}]"	"{'energy': 81.12946131894766, 'fat': 2.14013926351589, 'protein': 6.914436593565535, 'salt': 0.055978167389859, 'saturates': 0.36534716195613903, 'sugars': 5.086341034361439}"	train	"[{'text': '8'}, {'text': '1'}, {'text': '1/4'}]"	Yogurt Parfaits	"[{'text': 'ounce'}, {'text': 'cup'}, {'text': 'cup'}]"	http://tastykitchen.com/recipes/breakfastbrunch/yogurt-parfaits/	"[226.796, 152.0, 30.5]"	BREAKFAST
1	"{'fat': 'red', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'orange'}"	00051d5b9d	"[{'text': 'sugars, granulated'}, {'text': 'oil, corn, peanut, and olive'}, {'text': 'egg substitute, powder'}, {'text': 'orange juice, raw'}, {'text': 'orange juice, raw'}, {'text': 'leavening agents, baking powder, double-acting, sodium aluminum sulfate'}, {'text': 'wheat flour, white, all-purpose, unenriched'}]"	"[{'text': 'Cream sugar and butter together till smooth.'}, {'text': 'Add in egg beaters, orange rind, orange juice, and mix well.'}, {'text': 'Mix together low sodium baking powder and flour.'}, {'text': 'Add in to creamed mix and mix well.'}, {'text': 'Roll dough into 1 inch balls and place on ungreased cookie sheet.'}, {'text': 'Rub small amount of salt free butter on bottom of glass.'}, {'text': 'Dip glass in granulated sugar.'}, {'text': 'Flatten cookie dough ball slightly using flat end of glass.'}, {'text': 'Bake at 300 degrees for 10-12 min.'}]"	"[{'fat': 0.0, 'nrg': 384.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 100.56000000000002}, {'fat': 168.0, 'nrg': 1488.0, 'pro': 0.0, 'sat': 24.132, 'sod': 0.0, 'sug': 0.0}, {'fat': 2.7625, 'nrg': 94.35000000000001, 'pro': 11.793750000000001, 'sat': 0.800275, 'sod': 170.0, 'sug': 4.6325}, {'fat': 0.010416666666666, 'nrg': 2.333333333333333, 'pro': 0.036250000000000004, 'sat': 0.0012499999999990002, 'sod': 0.041666666666666005, 'sug': 0.43395833333333306}, {'fat': 0.0026041666666660004, 'nrg': 0.583333333333333, 'pro': 0.0090625, 'sat': 0.00031249999999900005, 'sod': 0.010416666666666, 'sug': 0.10848958333333301}, {'fat': 0.0, 'nrg': 6.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1464.0, 'sug': 0.0}, {'fat': 4.305, 'nrg': 1592.5, 'pro': 45.185, 'sat': 0.679, 'sod': 7.0, 'sug': 1.19}]"	"{'energy': 477.09640393594606, 'fat': 23.412485931109796, 'protein': 7.625491714677334, 'salt': 0.5486205522805531, 'saturates': 3.425053768233838, 'sugars': 14.298442949953758}"	val	"[{'text': '1/2'}, {'text': '3/4'}, {'text': '1/4'}, {'text': '1'}, {'text': '1/4'}, {'text': '1'}, {'text': '3 1/2'}]"	"Salt Free, Low Cholesterol Sugar Cookies Recipe"	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'cup'}]"	http://cookeatshare.com/recipes/salt-free-low-cholesterol-sugar-cookies-6256	"[100.80000000000001, 168.0, 21.25, 5.166666666666666, 1.291666666666666, 13.799999999999999, 437.5]"	DESSERT
2	"{'fat': 'orange', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'green'}"	00059b093b	"[{'text': 'chicken, broilers or fryers, wing, meat and skin, raw'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}, {'text': 'oil, olive, salad or cooking'}, {'text': 'butter, without salt'}, {'text': 'sauce, hot chile, sriracha'}, {'text': 'honey'}, {'text': 'rice, white, long-grain, regular, unenriched, cooked without salt'}, {'text': 'soy sauce made from soy (tamari)'}, {'text': 'sauce, hoisin, ready-to-serve'}, {'text': 'salt, table'}, {'text': 'spices, coriander seed'}]"	"[{'text': 'Preheat oven to 400 degrees F.'}, {'text': 'In a large bowl, toss the wings with salt and pepper and oil.'}, {'text': 'Line a sheet pan with nonstick foil or parchment paper, and spread the wings evenly on the pan.'}, {'text': 'Bake for about 50 minutes, turning the wings halfway through.'}, {'text': 'In the last couple of minutes, you can turn on the broiler to get them to really crisp up.'}, {'text': 'Keep an eye on them, though!'}, {'text': 'When the wings are done, melt the butter in a skillet or wok and add the Sriracha, honey, rice wine, soy sauce, hoisin, and salt.'}, {'text': 'Stir over low heat until bubbly.'}, {'text': 'Transfer the wings from the baking sheet into the pan with the sauce.'}, {'text': 'Toss until coated.'}, {'text': 'Garnish with chopped cilantro and serve immediately.'}]"	"[{'fat': 174.859716, 'nrg': 2599.0821599999995, 'pro': 238.40795519999998, 'sat': 48.10343159999999, 'sod': 1143.0518399999999, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.035, 'nrg': 3.0, 'pro': 0.11999999999999901, 'sat': 0.016, 'sod': 0.0, 'sug': 0.005}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.8639999999999999, 'sod': 0.0, 'sug': 0.0}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.72, 'nrg': 72.0, 'pro': 1.56, 'sat': 0.0, 'sod': 1656.0, 'sug': 11.76}, {'fat': 0.0, 'nrg': 128.875, 'pro': 0.1275, 'sat': 0.0, 'sod': 1.75, 'sug': 34.79875}, {'fat': 0.0275, 'nrg': 12.8125, 'pro': 0.265625, 'sat': 0.007625, 'sod': 0.125, 'sug': 0.005}, {'fat': 0.006666666666666, 'nrg': 3.666666666666666, 'pro': 0.629999999999999, 'sat': 0.0006666666666660001, 'sod': 335.0, 'sug': 0.10333333333333301}, {'fat': 0.18, 'nrg': 11.666666666666666, 'pro': 0.176666666666666, 'sat': 0.030333333333333004, 'sod': 86.0, 'sug': 1.4533333333333331}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 1.92, 'nrg': 30.0, 'pro': 1.32, 'sat': 0.108, 'sod': 6.0, 'sug': 0.0}]"	"{'energy': 208.05898280960727, 'fat': 14.297046237538591, 'protein': 15.383456444054616, 'salt': 1.06391463855264, 'saturates': 4.535686543577051, 'sugars': 3.04895100024735}"	train	"[{'text': '3'}, {'text': '1'}, {'text': '1/2'}, {'text': '1'}, {'text': '3'}, {'text': '1/4'}, {'text': '2'}, {'text': '1'}, {'text': '1'}, {'text': '1'}, {'text': '1/2'}, {'text': '2'}]"	Honey Sriracha Chicken Wings	"[{'text': 'pound'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}]"	http://tastykitchen.com/recipes/main-courses/honey-sriracha-chicken-wings/	"[1360.7759999999998, 6.0, 1.15, 13.5, 42.599999999999994, 78.0, 42.375, 9.875, 6.0, 5.333333333333333, 3.0, 10.8]"	APPETIZER
3	"{'fat': 'orange', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'green'}"	0005fc89f7	"[{'text': 'crustaceans, shrimp, raw (not previously frozen)'}, {'text': 'onions, spring or scallions (includes tops and bulb), raw'}, {'text': 'celery, raw'}, {'text': 'capers, canned'}, {'text': 'olives, ripe, canned (small-extra large)'}, {'text': 'oil, olive, salad or cooking'}, {'text': 'salad dressing, mayonnaise, regular'}, {'text': 'celery, raw'}, {'text': 'lemon juice, raw'}]"	"[{'text': 'In a large bowl, toss the shrimp, green onions, celery, capers, black olives, oil and vinegar dressing, mayonnaise, celery seed, and lemon juice.'}, {'text': 'Chill at least 1 hour in the refrigerator before serving.'}]"	"[{'fat': 4.6266384, 'nrg': 771.1064, 'pro': 182.343984, 'sat': 0.91625584, 'sod': 1079.5489599999999, 'sug': 0.0}, {'fat': 0.14250000000000002, 'nrg': 24.0, 'pro': 1.3725, 'sat': 0.024, 'sod': 12.0, 'sug': 1.7475}, {'fat': 0.255, 'nrg': 24.0, 'pro': 1.049999999999999, 'sat': 0.063, 'sod': 121.5, 'sug': 2.025}, {'fat': 0.21000000000000002, 'nrg': 6.0, 'pro': 0.6000000000000001, 'sat': 0.06, 'sod': 606.0, 'sug': 0.12}, {'fat': 14.4, 'nrg': 160.0, 'pro': 1.12, 'sat': 1.904, 'sod': 992.0, 'sug': 0.0}, {'fat': 108.0, 'nrg': 952.0, 'pro': 0.0, 'sat': 14.912, 'sod': 0.0, 'sug': 0.0}, {'fat': 123.96000000000001, 'nrg': 1128.0, 'pro': 1.56, 'sat': 19.38, 'sod': 1056.0, 'sug': 0.96}, {'fat': 0.010624999999999999, 'nrg': 1.0, 'pro': 0.043750000000000004, 'sat': 0.0026249999999999997, 'sod': 5.0625, 'sug': 0.08437499999999999}, {'fat': 0.0015364583333330002, 'nrg': 0.140625, 'pro': 0.002213541666666, 'sat': 0.000255208333333, 'sod': 0.005208333333333, 'sug': 0.016015625000000002}]"	"{'energy': 194.7525956849092, 'fat': 15.980767233874783, 'protein': 11.94668664618344, 'salt': 0.6148434599400211, 'saturates': 2.366703548999658, 'sugars': 0.314582712187776}"	train	"[{'text': '2'}, {'text': '3/4'}, {'text': '1 1/2'}, {'text': '3'}, {'text': '1'}, {'text': '1/2'}, {'text': '3/4'}, {'text': '1'}, {'text': '1'}]"	Shrimp and Caper Salad	"[{'text': 'pound'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'dash'}]"	http://allrecipes.com/recipe/shrimp-and-caper-salad/	"[907.184, 75.0, 151.5, 25.799999999999997, 134.4, 108.0, 165.60000000000002, 6.3125, 0.6354166666666661]"	LUNCH
4	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'red'}"	0006ca31f4	"[{'text': 'cocoa, dry powder, unsweetened'}, {'text': 'honey'}, {'text': 'peanut butter, smooth style, without salt'}]"	"[{'text': 'Measure out the cocoa powder into a mixing bowl.'}, {'text': 'Grease your measuring cup with a little oil or cooking spray to measure out 1/2 cup honey, and mix with the cocoa powder with a fork or whisk.'}, {'text': 'Blend until the mixture resembles frosting and there are no loose cocoa particles floating around.'}, {'text': 'Cut in the peanut butter, until the chocolate mix absorbs it.'}, {'text': 'Form balls of the mixture with your hands and place on a plate, and freeze for at least 2 hours prior to eating.'}, {'text': 'Can be eaten cold or frozen.'}]"	"[{'fat': 141.35999999999999, 'nrg': 2352.0, 'pro': 202.32, 'sat': 83.28, 'sod': 216.0, 'sug': 18.0}, {'fat': 0.0, 'nrg': 12372.0, 'pro': 12.24, 'sat': 0.0, 'sod': 168.0, 'sug': 3340.68}, {'fat': 131.52, 'nrg': 1528.0, 'pro': 56.88, 'sat': 26.432, 'sod': 40.0, 'sug': 26.88}]"	"{'energy': 303.43539955190437, 'fat': 5.094846900672143, 'protein': 5.067961165048543, 'salt': 0.019790888722927003, 'saturates': 2.048394324122479, 'sugars': 63.21060492905153}"	train	"[{'text': '12'}, {'text': '12'}, {'text': '1'}]"	Natural Peanut Butter Chocolate Bon Bons	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}]"	http://www.food.com/recipe/natural-peanut-butter-chocolate-bon-bons-449265	"[1032.0, 4068.0, 256.0]"	DESSERT
7	"{'fat': 'orange', 'salt': 'red', 'saturates': 'red', 'sugars': 'green'}"	0007f5f800	"[{'text': 'cornmeal, degermed, unenriched, yellow'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'seeds, pumpkin and squash seeds, whole, roasted, without salt'}, {'text': 'salt, table'}, {'text': 'sugars, granulated'}, {'text': 'spices, pepper, red or cayenne'}, {'text': 'butter, without salt'}, {'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}]"	"[{'text': 'In a large skillet, stir the cornmeal over moderate heat, shaking the pan occasionally, until lightly toasted, about 2 minutes.'}, {'text': 'Transfer to a plate to cool.'}, {'text': 'In a medium bowl, combine the cornmeal with the flour, 1/2 cup of the pumpkin seeds, the salt, sugar and crushed red pepper.'}, {'text': 'Using your fingers, work the butter into the cornmeal mixture until incorporated.'}, {'text': 'Mix in the milk, pressing the dough with your hands to form a ball; add a little more milk if necessary.'}, {'text': 'Cover the dough and refrigerate until chilled and firm, about 1 hour.'}, {'text': 'Preheat the oven to 350.'}, {'text': 'Butter 2 baking sheets.'}, {'text': 'Pinch off 1-inch pieces of dough and roll into balls.'}, {'text': 'Arrange the balls on the baking sheet and press into 2-inch rounds with a flat-bottomed glass.'}, {'text': 'Press the remaining 1/4 cup of pumpkin seeds into the rounds.'}, {'text': 'Bake the crackers for about 10 minutes, or until browned around the edges.'}, {'text': 'Let cool for 5 minutes, then transfer to a large plate.'}, {'text': 'Serve warm or at room temperature.'}]"	"[{'fat': 2.75, 'nrg': 581.0, 'pro': 11.16, 'sat': 0.34500000000000003, 'sod': 11.0, 'sug': 2.5300000000000002}, {'fat': 0.9225000000000001, 'nrg': 341.25, 'pro': 9.682500000000001, 'sat': 0.14550000000000002, 'sod': 1.5, 'sug': 0.255}, {'fat': 9.315, 'nrg': 213.75, 'pro': 8.9025, 'sat': 1.7617500000000001, 'sod': 9.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4650.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 32.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 8.38}, {'fat': 0.2325, 'nrg': 4.5, 'pro': 0.165, 'sat': 0.044250000000000005, 'sod': 0.75, 'sug': 0.14250000000000002}, {'fat': 69.12, 'nrg': 612.0, 'pro': 0.72, 'sat': 43.013999999999996, 'sod': 12.0, 'sug': 0.06}, {'fat': 0.44437499999999996, 'nrg': 19.125, 'pro': 1.54125, 'sat': 0.2896875, 'sod': 20.0625, 'sug': 2.379375}]"	"{'energy': 399.5182190718795, 'fat': 18.33744046959796, 'protein': 7.126204452320301, 'salt': 2.605112692435485, 'saturates': 10.100827887916711, 'sugars': 3.045049285635176}"	train	"[{'text': '1'}, {'text': '3/4'}, {'text': '3/4'}, {'text': '2'}, {'text': '2'}, {'text': '3/4'}, {'text': '6'}, {'text': '3'}]"	Cornmeal Crackers with Pumpkin Seeds	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}]"	http://www.foodandwine.com/recipes/cornmeal-crackers-with-pumpkin-seeds	"[157.0, 93.75, 48.0, 12.0, 8.4, 1.35, 85.19999999999999, 45.75]"	APPETIZER
8	"{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'red'}"	0008c6e39a	"[{'text': 'sugars, powdered'}, {'text': 'wheat flour, white, cake, enriched'}, {'text': 'cocoa, dry powder, unsweetened'}, {'text': 'egg, white, raw, fresh'}, {'text': 'sugars, granulated'}, {'text': 'salt, table'}, {'text': 'orange juice, raw'}]"	"[{'text': 'Move oven rack to lowest position.'}, {'text': 'Heat oven to 375F (190C).'}, {'text': 'Sift together powdered sugar, flour, and cocoa.'}, {'text': 'Beat egg whites and cream of tartar in large bowl on medium speed until foamy.'}, {'text': 'Beat in granulated sugar, 2 tablespoon at a time, on high speed, adding salt with the last addition of sugar.'}, {'text': 'Continue beating until stiff and glossy.'}, {'text': 'Do not underbeat.'}, {'text': 'Sprinkle cocoa mixture, 1 tablespoon at a time, over meringue, folding in just until cocoa mixture disappears.'}, {'text': 'Spread batter in ungreased tube pan, 10x4 inches.'}, {'text': 'Gently cut through batter with metal spatula.'}, {'text': 'Bake 30 to 35 minutes or until cracks feel dry and top springs back when touched lightly.'}, {'text': 'Invert pan onto metal funnel or glass bottle about 2 hours or until cake is completely cool.'}, {'text': 'Remove from pan.'}, {'text': 'Slice off top of cake about 1 inch down; set aside.'}, {'text': 'Cut down into cake 1 inch from outer edge and 1 inch from edge of hole, leaving substantial inchwalls inch on each side.'}, {'text': 'Remove cake within cuts with curved knife or spoon, being careful to leave a base of cake 1 inch thick.'}, {'text': 'Spoon sherbet into cake cavity; smooth top.'}, {'text': 'Replace top of cake.'}, {'text': 'Cover and freeze about 3 hours or until firm.'}]"	"[{'fat': 0.0, 'nrg': 700.5, 'pro': 0.0, 'sat': 0.0, 'sod': 3.0, 'sug': 176.055}, {'fat': 0.885, 'nrg': 372.0, 'pro': 8.4225, 'sat': 0.1305, 'sod': 2.25, 'sug': 0.315}, {'fat': 2.9450000000000003, 'nrg': 49.0, 'pro': 4.215, 'sat': 1.7349999999999999, 'sod': 4.5, 'sug': 0.375}, {'fat': 0.615, 'nrg': 189.0, 'pro': 39.735, 'sat': 0.0, 'sod': 604.5, 'sug': 2.594999999999999}, {'fat': 0.0, 'nrg': 768.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 201.12000000000003}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}, {'fat': 1.5, 'nrg': 336.0, 'pro': 5.22, 'sat': 0.18, 'sod': 6.0, 'sug': 62.489999999999995}]"	"{'energy': 149.42599870037444, 'fat': 0.367917814153541, 'protein': 3.564223164278863, 'salt': 0.18589287371971402, 'saturates': 0.126589720580499, 'sugars': 27.412816783736115}"	train	"[{'text': '1 1/2'}, {'text': '3/4'}, {'text': '1/4'}, {'text': '1 1/2'}, {'text': '1'}, {'text': '1/4'}, {'text': '3'}]"	Chocolate-Orange Angel Food Cake	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'cup'}]"	https://recipeland.com/recipe/v/chocolate-orange-angel-food-cak-40981	"[180.0, 102.75, 21.5, 364.5, 201.60000000000002, 1.5, 744.0]"	DESSERT
9	"{'fat': 'orange', 'salt': 'red', 'saturates': 'orange', 'sugars': 'green'}"	0009785a2e	"[{'text': 'rice, white, long-grain, regular, unenriched, cooked without salt'}, {'text': 'water, bottled, generic'}, {'text': 'butter, without salt'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}, {'text': 'lemon juice, raw'}, {'text': 'capers, canned'}, {'text': 'parsley, fresh'}]"	"[{'text': 'Add rice to a large pan of boiling water.'}, {'text': 'Cook over high heat about 15 minutes, until just tender.'}, {'text': 'Watch carefully to prevent overcooking.'}, {'text': 'Drain and rise thoroughly.'}, {'text': 'Heat 1 tablespoon butter in a heavy skillet or pan over low heat.'}, {'text': '(I usually use same pan I used to cook the rice.'}, {'text': ').'}, {'text': 'Add rice, salt, and pepper.'}, {'text': 'Heat, stirring gently with a fork.'}, {'text': 'Stir in lemon juice, capers, and parsley and remove from heat.'}, {'text': 'Stir in remaining butter and adjust seasonings to taste.'}, {'text': 'Serve immediately.'}]"	"[{'fat': 0.44, 'nrg': 205.0, 'pro': 4.25, 'sat': 0.122, 'sod': 2.0, 'sug': 0.08}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 0.0}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.447999999999999, 'sod': 0.0, 'sug': 0.13999999999999901}, {'fat': 0.036875, 'nrg': 3.375, 'pro': 0.053125, 'sat': 0.006124999999999999, 'sod': 0.125, 'sug': 0.38437499999999997}, {'fat': 0.14, 'nrg': 4.0, 'pro': 0.4, 'sat': 0.04, 'sod': 404.0, 'sug': 0.08}, {'fat': 0.058750000000000004, 'nrg': 2.75, 'pro': 0.2225, 'sat': 0.009875, 'sod': 4.25, 'sug': 0.06375}]"	"{'energy': 57.34966592427616, 'fat': 3.432272662654598, 'protein': 0.819374022650807, 'salt': 6.714773965786854, 'saturates': 2.097616452637065, 'sugars': 0.07374543903710301}"	test	"[{'text': '1'}, {'text': '3'}, {'text': '3'}, {'text': '12'}, {'text': '14'}, {'text': '1'}, {'text': '2'}, {'text': '2'}]"	"Rice With Lemon, Capers & Parsley"	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}]"	http://www.food.com/recipe/rice-with-lemon-capers-parsley-390581	"[158.0, 710.4000000000001, 42.599999999999994, 72.0, 32.199999999999996, 15.25, 17.2, 7.5]"	DINNER
11	"{'fat': 'green', 'salt': 'orange', 'saturates': 'green', 'sugars': 'green'}"	0009f8bae9	"[{'text': 'broccoli, raw'}, {'text': 'cauliflower, raw'}, {'text': 'water, bottled, generic'}, {'text': 'salt, table'}, {'text': 'spices, basil, dried'}, {'text': 'butter, without salt'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'milk, buttermilk, fluid, cultured, lowfat'}]"	"[{'text': 'In saucepan, combine broccoli, cauliflower, water, salt, and basil.'}, {'text': 'Cook till tender.'}, {'text': 'In separate pan, heat butter till lightly browned.'}, {'text': 'Add in flour and stir till smooth.'}, {'text': 'Gradually add in lowfat milk, stirring constantly, till thickened.'}, {'text': 'Pour over vegetable mix and stir till blended.'}]"	"[{'fat': 0.68, 'nrg': 62.0, 'pro': 5.14, 'sat': 0.07, 'sod': 60.0, 'sug': 3.1}, {'fat': 0.6000000000000001, 'nrg': 54.0, 'pro': 4.1, 'sat': 0.278, 'sod': 64.0, 'sug': 4.08}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.014999999999999002, 'nrg': 1.0, 'pro': 0.08, 'sat': 0.0074999999999990005, 'sod': 0.5, 'sug': 0.005}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 0.19218749999999998, 'nrg': 71.09375, 'pro': 2.0171875, 'sat': 0.0303125, 'sod': 0.3125, 'sug': 0.053125000000000006}, {'fat': 6.48, 'nrg': 294.0, 'pro': 24.33, 'sat': 4.029, 'sod': 1398.0, 'sug': 35.22}]"	"{'energy': 52.627415635532074, 'fat': 2.378433186793167, 'protein': 2.754291932939895, 'salt': 0.7394085977688181, 'saturates': 1.438450733260142, 'sugars': 3.258321387992654}"	train	"[{'text': '2'}, {'text': '2'}, {'text': '1/2'}, {'text': '1'}, {'text': '1/2'}, {'text': '2'}, {'text': '2 1/2'}, {'text': '3'}]"	Creamed Broccoli And Cauliflower Soup Recipe	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'cup'}]"	http://cookeatshare.com/recipes/creamed-broccoli-and-cauliflower-soup-55355	"[182.0, 214.0, 118.4, 6.0, 0.35000000000000003, 28.4, 19.53125, 735.0]"	LUNCH
12	"{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'orange'}"	000b630b44	"[{'text': 'cherries, sweet, raw'}, {'text': 'ice creams, chocolate'}, {'text': 'leavening agents, baking soda'}]"	"[{'text': 'LINE a dinner-sized plate with foil.'}, {'text': 'Place in freezer to chill for 10 minutes.'}, {'text': 'Turn Magic Shell bottle upside down and shake for at least 20 seconds.'}, {'text': 'SCOOP 6 rounded servings of cherry vanilla ice cream onto chilled plate.'}, {'text': 'Immediately coat with Magic Shell.'}, {'text': '(To assemble later, return to freezer until ready to serve.'}, {'text': ').'}, {'text': 'ASSEMBLE by placing two scoops of ice cream into 1 of 3 tall (12 ounce) glasses.'}, {'text': 'Fill glasses 2/3rds full with black cherry soda.'}, {'text': 'Serve immediately with iced tea spoons and straws.'}]"	"[{'fat': 0.56, 'nrg': 174.0, 'pro': 2.92, 'sat': 0.10400000000000001, 'sod': 0.0, 'sug': 35.38}, {'fat': 22.60872625, 'nrg': 443.95317, 'pro': 7.81028725, 'sat': 13.9763035, 'sod': 156.205745, 'sug': 52.123390699999995}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 155128.464, 'sug': 0.0}]"	"{'energy': 58.93553639873008, 'fat': 2.209651759241057, 'protein': 1.023370807841643, 'salt': 37.02459081940315, 'saturates': 1.342869135907849, 'sugars': 8.345388482451103}"	val	"[{'text': '1'}, {'text': '7 1/4'}, {'text': '20'}]"	Fudgy Chocolate Cherry Float	"[{'text': 'pint'}, {'text': 'ounce'}, {'text': 'ounce'}]"	http://www.food.com/recipe/fudgy-chocolate-cherry-float-311779	"[276.0, 205.533875, 566.99]"	DESSERT
